,id_plot,SU,PSP,MAP,Avicennia_count,Rhizopora_count,Laguncularia_count,OtherSpecies_count
0,10_2,10,2,19,0.0,6.0,0.0,0.0
1,10_3,10,3,8,6.0,109.0,2.0,0.0
2,10_4,10,4,3,1.0,91.0,10.0,0.0
3,11_1,11,1,3,0.0,67.0,0.0,1.0
4,11_2,11,2,17,0.0,58.0,0.0,18.0
5,11_3,11,3,4,3.0,56.0,3.0,3.0
6,11_4,11,4,18,0.0,76.0,1.0,0.0
7,12_1,12,1,8,160.0,0.0,0.0,0.0
8,12_2,12,2,8,114.0,0.0,0.0,0.0
9,12_3,12,3,18,79.0,0.0,0.0,0.0
10,12_4,12,4,4,99.0,0.0,0.0,0.0
11,13_1,13,1,5,194.0,0.0,0.0,0.0
12,13_2,13,2,18,150.0,0.0,0.0,0.0
13,13_3,13,3,7,93.0,0.0,0.0,0.0
14,13_4,13,4,10,95.0,0.0,0.0,0.0
15,14_1,14,1,18,311.0,0.0,0.0,0.0
16,14_2,14,2,17,237.0,0.0,0.0,0.0
17,14_3,14,3,3,57.0,57.0,0.0,0.0
18,14_4,14,4,13,72.0,23.0,2.0,0.0
19,15_1,15,1,17,1.0,60.0,0.0,0.0
20,15_2,15,2,17,1.0,136.0,0.0,0.0
21,15_3,15,3,7,0.0,62.0,0.0,0.0
22,15_4,15,4,4,3.0,79.0,0.0,2.0
23,16_1,16,1,17,64.0,6.0,1.0,0.0
24,16_2,16,2,17,53.0,17.0,0.0,0.0
25,16_3,16,3,18,69.0,40.0,0.0,0.0
26,16_4,16,4,17,46.0,54.0,0.0,0.0
27,17_1,17,1,17,7.0,0.0,61.0,0.0
28,17_2,17,2,17,23.0,1.0,13.0,0.0
29,17_3,17,3,3,36.0,4.0,0.0,0.0
30,17_4,17,4,11,31.0,0.0,0.0,0.0
31,1_1,1,1,12,74.0,0.0,0.0,0.0
32,1_2,1,2,2,75.0,0.0,0.0,0.0
33,1_3,1,3,4,77.0,0.0,0.0,0.0
34,1_4,1,4,4,101.0,0.0,3.0,0.0
35,2_1,2,1,18,59.0,0.0,0.0,0.0
36,2_2,2,2,20,73.0,0.0,0.0,0.0
37,2_3,2,3,10,25.0,0.0,0.0,0.0
38,2_4,2,4,17,12.0,0.0,0.0,0.0
39,3_1,3,1,13,74.0,0.0,0.0,5.0
40,3_2,3,2,1,43.0,0.0,0.0,3.0
41,3_3,3,3,2,156.0,0.0,2.0,0.0
42,3_4,3,4,4,51.0,0.0,2.0,0.0
43,4_1,4,1,5,128.0,2.0,0.0,0.0
44,4_2,4,2,2,172.0,0.0,0.0,0.0
45,4_3,4,3,3,230.0,0.0,0.0,0.0
46,4_4,4,4,17,201.0,0.0,0.0,0.0
47,5_1,5,1,3,85.0,0.0,0.0,0.0
48,5_2,5,2,18,178.0,0.0,0.0,0.0
49,5_3,5,3,6,133.0,1.0,0.0,0.0
50,5_4,5,4,4,149.0,0.0,0.0,0.0
51,6_1,6,1,9,11.0,51.0,0.0,0.0
52,6_2,6,2,18,21.0,40.0,0.0,1.0
53,6_3,6,3,4,8.0,16.0,25.0,0.0
54,6_4,6,4,9,18.0,60.0,0.0,0.0
55,7_1,7,1,18,96.0,15.0,0.0,0.0
56,7_2,7,2,4,104.0,29.0,0.0,0.0
57,7_3,7,3,9,77.0,22.0,2.0,0.0
58,7_4,7,4,14,21.0,88.0,1.0,0.0
59,8_1,8,1,11,23.0,0.0,0.0,26.0
60,8_2,8,2,11,52.0,0.0,0.0,7.0
61,8_3,8,3,14,51.0,0.0,0.0,0.0
62,8_4,8,4,9,77.0,0.0,0.0,0.0
63,9_1,9,1,17,253.0,0.0,0.0,0.0
64,9_2,9,2,4,208.0,1.0,2.0,42.0
65,9_3,9,3,4,70.0,2.0,0.0,0.0
66,9_4,9,4,4,20.0,56.0,0.0,0.0
