,id_plot,SU,PSP,Avicennia_count,Rhizopora_count,AGB_Mg
0,10_1,10,1,5.0,2.0,1.097265956
1,10_2,10,2,3.0,88.0,12.961285161
2,10_3,10,3,8.0,111.0,28.23230665
3,10_4,10,4,0.0,60.0,10.065285082
4,11_1,11,1,0.0,43.0,12.798218857
5,11_2,11,2,3.0,26.0,10.118625755
6,11_3,11,3,3.0,46.0,14.376849848
7,11_4,11,4,3.0,76.0,20.383323898
8,15_1,15,1,3.0,41.0,16.338302709
9,15_2,15,2,7.0,116.0,18.667535947
10,15_3,15,3,6.0,54.0,19.815738636
11,15_4,15,4,2.0,41.0,15.221386575
12,1_1,1,1,49.0,0.0,4.140511949
13,1_2,1,2,58.0,0.0,7.143903692
14,1_3,1,3,74.0,0.0,13.2877634
15,1_4,1,4,97.0,0.0,13.897931904
16,2_1,2,1,58.0,0.0,3.67229188
17,2_2,2,2,67.0,0.0,4.802516064
18,2_3,2,3,75.0,0.0,4.02787483
19,2_4,2,4,111.0,0.0,5.124169407
20,3_1,3,1,101.0,0.0,13.491117003
21,3_2,3,2,45.0,0.0,6.999381027
22,3_3,3,3,113.0,0.0,9.240884221
23,3_4,3,4,25.0,0.0,1.974054975
24,4_1,4,1,110.0,0.0,9.63468471
25,4_2,4,2,144.0,0.0,8.544583769
26,4_3,4,3,263.0,0.0,17.316900472
27,4_4,4,4,190.0,32.0,27.351905188
28,5_1,5,1,91.0,0.0,19.717974095
29,5_2,5,2,228.0,0.0,29.446120024
30,5_3,5,3,121.0,0.0,17.844312483
31,5_4,5,4,142.0,0.0,15.703299471
32,6_1,6,1,10.0,53.0,27.248076841
33,6_2,6,2,16.0,32.0,15.409441911
34,6_3,6,3,0.0,4.0,1.367127875
35,6_4,6,4,19.0,46.0,23.717998628
36,7_1,7,1,85.0,8.0,17.074978782
37,7_2,7,2,96.0,21.0,14.928315066
38,7_3,7,3,98.0,25.0,21.962701888999998
39,7_4,7,4,36.0,82.0,29.060929226
40,8_1,8,1,15.0,0.0,3.280785548
41,8_2,8,2,36.0,0.0,8.80536249
42,8_3,8,3,34.0,0.0,7.991404023
43,8_4,8,4,53.0,0.0,6.310351649
