SU,PSP,M,X_21N,Y_21N
1,1,0,499000,659100
1,1,100,499000,659200
1,2,0,499000,659300
1,2,100,499000,659400
1,3,0,499000,659500
1,3,100,499000,659600
1,4,0,499000,659700
1,4,100,499000,659800
2,1,0,520000,659300
2,1,100,520000,659400
2,2,0,520000,659500
2,2,100,520000,659600
2,3,0,520000,659700
2,3,100,520000,659800
2,4,0,520000,659900
2,4,100,520000,660000
3,1,0,550000,654300
3,1,100,550000,654400
3,2,0,550000,654500
3,2,100,550000,654600
3,3,0,550000,654700
3,3,100,550000,654800
3,4,0,550000,654900
3,4,100,550000,655000
4,1,0,580000,649300
4,1,100,580000,649400
4,2,0,580000,649500
4,2,100,580000,649600
4,3,0,580000,649700
4,3,100,580000,649800
4,4,0,580000,649900
4,4,100,580000,650000
5,1,0,605000,644300
5,1,100,605000,644400
5,2,0,605000,644500
5,2,100,605000,644600
5,3,0,605000,644700
5,3,100,605000,644800
5,4,0,605000,644900
5,4,100,605000,645000
6,1,0,619400,640100
6,1,100,619400,640000
6,2,0,619400,639900
6,2,100,619400,639800
6,3,0,619400,639700
6,3,100,619400,639600
6,4,0,619300,640100
6,4,100,619200,640100
7,1,0,620000,643950
7,1,100,620000,644050
7,2,0,620000,644150
7,2,100,620000,644250
7,3,0,620000,644350
7,3,100,620000,644450
7,4,0,620000,644550
7,4,100,620000,644650
8b,1,0,658000,660400
8b,1,100,658000,660500
8b,2,0,658000,660600
8b,2,100,658000,660700
8b,3,0,658000,660800
8b,3,100,658000,660900
8b,4,0,658000,661000
8b,4,100,658000,661100
10,1,0,707500,660700
10,1,100,707500,660600
10,2,0,707500,660500
10,2,100,707500,660400
10,3,0,707500,660300
10,3,100,707500,660200
10,4,0,707500,660100
10,4,100,707500,660000
11,1,0,729900,649900
11,1,100,729900,650000
11,2,0,729900,650100
11,2,100,729900,650200
11,3,0,730000,650200
11,3,100,730000,650100
11,4,0,730100,650100
11,4,100,730100,650200
13,1,0,790000,655500
13,1,100,790000,655400
13,2,0,790000,655300
13,2,100,790000,655200
13,3,0,790000,655100
13,3,100,790000,655000
13,4,0,790000,654900
13,4,100,790000,654800
14,1,0,817100,648700
14,1,100,817100,648600
14,2,0,817100,648500
14,2,100,817100,648400
14,3,0,817100,648300
14,3,100,817100,648200
14,4,0,817000,648400
14,4,100,817000,648300
15,1,0,830300,644400
15,1,100,830200,644400
15,2,0,830100,644400
15,2,100,830000,644400
15,3,0,829900,644400
15,3,100,829800,644400
15,4,0,829700,644400
15,4,100,829600,644400
16,1,0,490000,652000
16,1,100,490000,651900
16,2,0,490000,651800
16,2,100,490000,651700
16,3,0,490000,651600
16,3,100,490000,651500
16,4,0,490000,651400
16,4,100,490000,651300
12,1,0,750000,661000
12,1,100,750000,660900
12,2,0,750000,660800
12,2,100,750000,660700
12,3,0,750000,660600
12,3,100,750000,660500
12,4,0,750000,660400
12,4,100,750000,660300
9_b,1,0,674000,660000
9_b,1,100,674000,660100
9_b,2,0,674000,660200
9_b,2,100,674000,660300
9_b,3,0,674000,660400
9_b,3,100,674000,660500
9_b,4,0,674000,660600
9_b,4,100,674000,660700
17,1,0,622000,654000
17,1,100,622000,654100
17,2,0,622000,654200
17,2,100,622000,654300
17,3,0,622000,654400
17,3,100,622000,654500
17,4,0,622000,654600
17,4,10,622000,654700
